la_code,name,type,majority_party,majority_party_id,governing_coalition,conservative_councillors,labour_councillors,lib_dem_councillors,green_councillors,ukip_councillors,plaid_cymru_councillors,snp_councillors,independent_councillors,vacant,total_councillors,boundary,notes,url,last_update
E06000001,Hartlepool,Unitary,Labour,15,Labour,3,19,0,0,6,0,0,5,0,33,,"Mike McLaughlin ok. Independents 3, Putting Hartlepool First 2",https://www.hartlepool.gov.uk/councillors/name,2017-05-31
E06000002,Middlesbrough,Unitary,Labour,15,Labour Mayor,5,30,0,0,0,0,0,9,2,46,,"Middlesbrough Independent Councillors Association 4, Independents 4, Marton Independent Group 2. Jacob Young Conservative, Lewis Young Labour",https://www.middlesbrough.gov.uk/mayor-council-and-councillors/councillors-and-council-meetings/councillors,2017-05-31
E06000003,Redcar and Cleveland,Unitary,No Overall Control,noc,Labour Minority,11,28,10,0,0,0,0,10,0,59,,,http://www.redcar-cleveland.gov.uk/Councill1.nsf/Councillors?ReadForm=&search=parties&select=All+Parties,2017-05-28
E06000004,Stockton-on-Tees,Unitary,Labour,15,Labour,12,30,1,0,0,0,0,12,1,56,,"Ingleby Barwick Independent Society 5, Thornaby Independent Association 3, Independents 2, West Words 2",http://www.egenda.stockton.gov.uk/aksstockton/users/public/admin/main.pl?op=ListCurrentMembers,2017-05-28
E06000005,Darlington,Unitary,Labour,15,Labour,17,29,3,0,0,0,0,1,0,50,,,http://www.darlington.gov.uk/your-council/democracy/councillors/,2017-05-28
E06000006,Halton,Unitary,Labour,15,Labour,2,52,2,0,0,0,0,0,0,56,,,http://councillors.halton.gov.uk/mgMemberIndex.aspx?FN=ALPHA&VW=LIST&PIC=0,2017-05-28
E06000007,Warrington,Unitary,Labour,15,Labour,2,45,11,0,0,0,0,0,0,58,,,https://www.warrington.gov.uk/councillors/name,2017-05-28
E06000008,Blackburn with Darwen,Unitary,Labour,15,Labour,17,43,3,0,0,0,0,0,1,64,,Julie Daley Conservative ok,http://blackburn.cmis.uk.com/blackburn/Councillors.aspx,2017-05-31
E06000009,Blackpool,Unitary,Labour,15,Labour,13,29,0,0,0,0,0,0,0,42,,,http://democracy.blackpool.gov.uk/mgMemberIndex.aspx?FN=ALPHA&VW=LIST&PIC=0,2017-05-28
E06000010,"Kingston upon Hull, City of",Unitary,Labour,15,Labour,2,39,17,0,0,0,0,1,0,59,,,https://cmis.hullcc.gov.uk/cmis/YourCouncillors/Councillors.aspx,2017-05-28
E06000011,East Riding of Yorkshire,Unitary,Conservative,4,Conservative,48,6,3,0,3,0,0,7,0,67,,,http://www2.eastriding.gov.uk/council/councillors-and-members-of-parliament/councillor-finder/,2017-05-28
E06000012,North East Lincolnshire,Unitary,No Overall Control,noc,Labour Minority,14,18,4,0,4,0,0,2,0,42,,,https://www.nelincs.gov.uk/councillors-and-democracy/councillors-mps-meps/councillors-by-party/,2017-05-28
E06000013,North Lincolnshire,Unitary,Conservative,4,Conservative,26,16,0,0,0,0,0,0,1,43,,,http://www.northlincs.gov.uk/your-council/have-your-say/councillors-and-mps/councillors/,2017-05-28
E06000014,York,Unitary,No Overall Control,noc,Conservative/Liberal Democrat,14,13,12,4,0,0,0,2,2,47,,,http://democracy.york.gov.uk/mgMemberIndex.aspx,2017-05-28
E06000015,Derby,Unitary,Labour,15,Labour,18,26,5,0,2,0,0,0,0,51,,,https://cmis.derby.gov.uk/cmis5/Councillors/tabid/62/ScreenMode/Alphabetical/Default.aspx,2017-05-28
E06000016,Leicester,Unitary,Labour,15,Labour Mayor,1,51,1,0,0,0,0,0,1,54,,,http://www.cabinet.leicester.gov.uk/mgMemberIndex.aspx?FN=ALPHA&VW=LIST&PIC=0,2017-05-28
E06000017,Rutland,Unitary,Conservative,4,Conservative,18,0,1,0,0,0,0,6,1,26,,,http://rutlandcounty.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-30
E06000018,Nottingham,Unitary,Labour,15,Labour,3,51,0,0,0,0,0,1,0,55,,,http://www.nottinghamcity.gov.uk/about-the-council/councillors-and-leadership/find-a-councillor/,2017-05-28
E06000019,"Herefordshire, County of",Unitary,Conservative,4,Conservative,29,0,2,3,0,0,0,19,0,53,,"It's Our County 12, Herefordshire Independents 7, Independent 1",http://councillors.herefordshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&J=2&zTS=undefined,2017-05-28
